"question_id,category,question,ground_truth_answer"
"1,Individual Pay Inquiry,""Why was my paycheck lower this pay period?"",""Employee E10234 had a $342 health premium deduction and a $95 garnishment applied to PayEvent PE2026015."""
"2,Individual Pay Inquiry,""What deductions were taken from my paycheck?"",""PayEvent PE2026016 included a $250 401(k) contribution, $180 health premium, and $35 dental premium."""
"3,Individual Pay Inquiry,""Why did I receive overtime pay this week?"",""Employee E19872 worked 11 hours on 2026-03-15, triggering CA_Daily_OT_8hr and generating $420 overtime pay."""
"4,Individual Pay Inquiry,""Why wasn't overtime paid on my paycheck?"",""Employee E14567 is classified as exempt under FLSA and was not eligible for overtime on PayEvent PE2026034."""
"5,Individual Pay Inquiry,""Why did my tax withholding increase?"",""Employee E17654 received a $3,000 bonus, increasing federal withholding on PayEvent PE2026089."""
"6,Individual Pay Inquiry,""Did my benefit elections affect my net pay?"",""Employee E15432 elected HSA contributions of $120 and health premiums of $210."""
"7,Individual Pay Inquiry,""Why do I see a garnishment deduction?"",""PayEvent PE2026121 includes a court-ordered garnishment deduction of $150."""
"8,Individual Pay Inquiry,""Which rule calculated my gross pay?"",""PayEvent PE2026118 was computed using PayRule CA_Daily_OT_8hr."""
"9,Individual Pay Inquiry,""Was my paycheck calculated using my resident state or work state?"",""Employee E16223 used CA as the work state and NV as the resident state for withholding calculations."""
"10,Individual Pay Inquiry,""Why did my net pay change compared to last pay period?"",""Employee E17441 increased 401(k) contributions from $100 to $250, reducing net pay."""
"11,Population Query,""Which employees received overtime pay in California during Q1 2026?"",""Employees E20341, E20402, and E20891 received overtime pay under California rules."""
"12,Population Query,""Show employees earning above $200,000 annually."",""Employees E21004, E21278, and E21563 earned more than $200,000 annually."""
"13,Population Query,""Which employees worked in multiple states this month?"",""Employees E22031 and E22119 had PayEvents linked to multiple jurisdictions."""
"14,Population Query,""How many employees are enrolled in health benefits in New York?"",""1,248 employees in New York are enrolled in health benefits."""
"15,Population Query,""List contractors with pay events in Canada."",""Employees E23044, E23101, and E23256 were contractors paid in Canada."""
"16,Population Query,""Which employees changed roles during Q2 2026?"",""Employees E24110 and E24145 transitioned to new roles during Q2 2026."""
"17,Population Query,""Which employees had deductions above $1,000?"",""Employees E25001 and E25099 exceeded $1,000 in deductions during March 2026."""
"18,Population Query,""Show employees with irregular pay frequencies."",""Employees E26087 and E26122 had non-standard pay frequencies."""
"19,Population Query,""Which employees worked overtime in more than one jurisdiction?"",""Employees E27011 and E27019 worked overtime across multiple states."""
"20,Population Query,""Which employees received bonuses during Q4 2026?"",""Employees E28015, E28044, and E28103 received bonus payments."""
"21,Compliance Audit,""Which California pay events violated overtime regulations?"",""PayEvents PE401234 and PE401567 violated CA overtime requirements."""
"22,Compliance Audit,""Which rules overrode federal FLSA obligations?"",""CA_Daily_OT_8hr and NY_SpreadOfHours_2026 overrode FLSA_Weekly_OT_40hr."""
"23,Compliance Audit,""Show unresolved compliance exceptions."",""AuditEvents AE50012 and AE50018 remain unresolved."""
"24,Compliance Audit,""Which pay events triggered AuditEvents?"",""PayEvents PE402101 and PE402119 triggered AuditEvents AE50045 and AE50046."""
"25,Compliance Audit,""Which employees were affected by the 2026 New York minimum wage increase?"",""Employees E30110, E30128, and E30204 were impacted."""
"26,Compliance Audit,""Which pay events were computed using superseded rules?"",""PayEvents PE403220 and PE403441 used lower-priority rules."""
"27,Compliance Audit,""Which jurisdictions had conflicting overtime rules?"",""California and New York required override resolution in Q2 2026."""
"28,Compliance Audit,""Show audit trails for California overtime corrections."",""AuditEvents AE50110 and AE50119 document overtime corrections."""
"29,Compliance Audit,""Which duplicate payments were identified?"",""PayEvents PE404101 and PE404102 were flagged as duplicate payments."""
"30,Compliance Audit,""Which ghost employees triggered investigations?"",""Employees E31077 and E31122 triggered anomaly investigations."""
"31,System Metadata,""How many countries are represented in PayrollBench?"",""PayrollBench contains payroll data from 28 countries."""
"32,System Metadata,""How many employee records are included?"",""PayrollBench contains 50,000 employee records."""
"33,System Metadata,""How many PayEvents were generated?"",""PayrollBench contains 2,147,000 PayEvents."""
"34,System Metadata,""How many jurisdiction rule sets are modeled?"",""PayrollBench models 140 jurisdiction rule sets."""
"35,System Metadata,""How many anomalies were injected?"",""PayrollBench includes 1,200 labeled anomalies."""
"36,System Metadata,""What train-validation-test split was used?"",""A 70%-15%-15% stratified split was used."""
"37,System Metadata,""Which anomaly categories are included?"",""Ghost employees, duplicate payments, rate violations, and rule override violations."""
"38,System Metadata,""What embedding model was used?"",""RotatE implemented using PyKEEN 1.10.1."""
"39,System Metadata,""What embedding dimension was selected?"",""RotatE used 256 complex dimensions."""
"40,System Metadata,""How many questions are included in PayrollQA?"",""PayrollQA contains 600 synthetic questions across four intent categories."""
