q_id,type,question,kg_answer,ground_truth,kg_response,llm_response,rag_response
Q-PAY-001,individual_pay,What was the net pay for employee EMP-00484 in period 5?,6651.73,6651.73,6651.73,6651.73,hallucinated
Q-PAY-002,individual_pay,What was the net pay for employee EMP-01370 in period 6?,6639.04,6639.04,hallucinated,6639.04,6639.04
Q-PAY-003,individual_pay,What was the net pay for employee EMP-00990 in period 10?,5387.09,5387.09,5387.09,5387.09,5387.09
Q-PAY-004,individual_pay,What was the net pay for employee EMP-01943 in period 10?,6318.9,6318.9,6318.9,6318.9,6318.9
Q-PAY-005,individual_pay,What was the net pay for employee EMP-01274 in period 1?,6194.64,6194.64,6194.64,hallucinated,6194.64
Q-PAY-006,individual_pay,What was the net pay for employee EMP-01779 in period 12?,3578.17,3578.17,3578.17,3578.17,3578.17
Q-PAY-007,individual_pay,What was the net pay for employee EMP-01976 in period 2?,5369.85,5369.85,5369.85,5369.85,5369.85
Q-PAY-008,individual_pay,What was the net pay for employee EMP-00700 in period 5?,5230.47,5230.47,5230.47,5230.47,5230.47
Q-PAY-009,individual_pay,What was the net pay for employee EMP-00094 in period 7?,5112.55,5112.55,5112.55,5112.55,5112.55
Q-PAY-010,individual_pay,What was the net pay for employee EMP-00672 in period 12?,3431.3,3431.3,hallucinated,3431.3,3431.3
Q-PAY-011,individual_pay,What was the net pay for employee EMP-01391 in period 8?,5345.59,5345.59,5345.59,hallucinated,hallucinated
Q-PAY-012,individual_pay,What was the net pay for employee EMP-01445 in period 5?,5094.16,5094.16,5094.16,5094.16,hallucinated
Q-PAY-013,individual_pay,What was the net pay for employee EMP-00297 in period 8?,5858.84,5858.84,hallucinated,hallucinated,hallucinated
Q-PAY-014,individual_pay,What was the net pay for employee EMP-00349 in period 8?,5648.03,5648.03,5648.03,5648.03,5648.03
Q-PAY-015,individual_pay,What was the net pay for employee EMP-01572 in period 3?,6541.93,6541.93,6541.93,6541.93,6541.93
