Question ID,Category,Question,Ground Truth Answer
1,Individual Pay Inquiry,Sample Individual Pay Inquiry question 1: What happened in payroll scenario 1?,Ground truth answer for synthetic payroll scenario 1.
2,Individual Pay Inquiry,Sample Individual Pay Inquiry question 2: What happened in payroll scenario 2?,Ground truth answer for synthetic payroll scenario 2.
3,Individual Pay Inquiry,Sample Individual Pay Inquiry question 3: What happened in payroll scenario 3?,Ground truth answer for synthetic payroll scenario 3.
4,Individual Pay Inquiry,Sample Individual Pay Inquiry question 4: What happened in payroll scenario 4?,Ground truth answer for synthetic payroll scenario 4.
5,Individual Pay Inquiry,Sample Individual Pay Inquiry question 5: What happened in payroll scenario 5?,Ground truth answer for synthetic payroll scenario 5.
6,Individual Pay Inquiry,Sample Individual Pay Inquiry question 6: What happened in payroll scenario 6?,Ground truth answer for synthetic payroll scenario 6.
7,Individual Pay Inquiry,Sample Individual Pay Inquiry question 7: What happened in payroll scenario 7?,Ground truth answer for synthetic payroll scenario 7.
8,Individual Pay Inquiry,Sample Individual Pay Inquiry question 8: What happened in payroll scenario 8?,Ground truth answer for synthetic payroll scenario 8.
9,Individual Pay Inquiry,Sample Individual Pay Inquiry question 9: What happened in payroll scenario 9?,Ground truth answer for synthetic payroll scenario 9.
10,Individual Pay Inquiry,Sample Individual Pay Inquiry question 10: What happened in payroll scenario 10?,Ground truth answer for synthetic payroll scenario 10.
11,Individual Pay Inquiry,Sample Individual Pay Inquiry question 11: What happened in payroll scenario 11?,Ground truth answer for synthetic payroll scenario 11.
12,Individual Pay Inquiry,Sample Individual Pay Inquiry question 12: What happened in payroll scenario 12?,Ground truth answer for synthetic payroll scenario 12.
13,Individual Pay Inquiry,Sample Individual Pay Inquiry question 13: What happened in payroll scenario 13?,Ground truth answer for synthetic payroll scenario 13.
14,Individual Pay Inquiry,Sample Individual Pay Inquiry question 14: What happened in payroll scenario 14?,Ground truth answer for synthetic payroll scenario 14.
15,Individual Pay Inquiry,Sample Individual Pay Inquiry question 15: What happened in payroll scenario 15?,Ground truth answer for synthetic payroll scenario 15.
16,Individual Pay Inquiry,Sample Individual Pay Inquiry question 16: What happened in payroll scenario 16?,Ground truth answer for synthetic payroll scenario 16.
17,Individual Pay Inquiry,Sample Individual Pay Inquiry question 17: What happened in payroll scenario 17?,Ground truth answer for synthetic payroll scenario 17.
18,Individual Pay Inquiry,Sample Individual Pay Inquiry question 18: What happened in payroll scenario 18?,Ground truth answer for synthetic payroll scenario 18.
19,Individual Pay Inquiry,Sample Individual Pay Inquiry question 19: What happened in payroll scenario 19?,Ground truth answer for synthetic payroll scenario 19.
20,Individual Pay Inquiry,Sample Individual Pay Inquiry question 20: What happened in payroll scenario 20?,Ground truth answer for synthetic payroll scenario 20.
21,Individual Pay Inquiry,Sample Individual Pay Inquiry question 21: What happened in payroll scenario 21?,Ground truth answer for synthetic payroll scenario 21.
22,Individual Pay Inquiry,Sample Individual Pay Inquiry question 22: What happened in payroll scenario 22?,Ground truth answer for synthetic payroll scenario 22.
23,Individual Pay Inquiry,Sample Individual Pay Inquiry question 23: What happened in payroll scenario 23?,Ground truth answer for synthetic payroll scenario 23.
24,Individual Pay Inquiry,Sample Individual Pay Inquiry question 24: What happened in payroll scenario 24?,Ground truth answer for synthetic payroll scenario 24.
25,Individual Pay Inquiry,Sample Individual Pay Inquiry question 25: What happened in payroll scenario 25?,Ground truth answer for synthetic payroll scenario 25.
26,Individual Pay Inquiry,Sample Individual Pay Inquiry question 26: What happened in payroll scenario 26?,Ground truth answer for synthetic payroll scenario 26.
27,Individual Pay Inquiry,Sample Individual Pay Inquiry question 27: What happened in payroll scenario 27?,Ground truth answer for synthetic payroll scenario 27.
28,Individual Pay Inquiry,Sample Individual Pay Inquiry question 28: What happened in payroll scenario 28?,Ground truth answer for synthetic payroll scenario 28.
29,Individual Pay Inquiry,Sample Individual Pay Inquiry question 29: What happened in payroll scenario 29?,Ground truth answer for synthetic payroll scenario 29.
30,Individual Pay Inquiry,Sample Individual Pay Inquiry question 30: What happened in payroll scenario 30?,Ground truth answer for synthetic payroll scenario 30.
31,Individual Pay Inquiry,Sample Individual Pay Inquiry question 31: What happened in payroll scenario 31?,Ground truth answer for synthetic payroll scenario 31.
32,Individual Pay Inquiry,Sample Individual Pay Inquiry question 32: What happened in payroll scenario 32?,Ground truth answer for synthetic payroll scenario 32.
33,Individual Pay Inquiry,Sample Individual Pay Inquiry question 33: What happened in payroll scenario 33?,Ground truth answer for synthetic payroll scenario 33.
34,Individual Pay Inquiry,Sample Individual Pay Inquiry question 34: What happened in payroll scenario 34?,Ground truth answer for synthetic payroll scenario 34.
35,Individual Pay Inquiry,Sample Individual Pay Inquiry question 35: What happened in payroll scenario 35?,Ground truth answer for synthetic payroll scenario 35.
36,Individual Pay Inquiry,Sample Individual Pay Inquiry question 36: What happened in payroll scenario 36?,Ground truth answer for synthetic payroll scenario 36.
37,Individual Pay Inquiry,Sample Individual Pay Inquiry question 37: What happened in payroll scenario 37?,Ground truth answer for synthetic payroll scenario 37.
38,Individual Pay Inquiry,Sample Individual Pay Inquiry question 38: What happened in payroll scenario 38?,Ground truth answer for synthetic payroll scenario 38.
39,Individual Pay Inquiry,Sample Individual Pay Inquiry question 39: What happened in payroll scenario 39?,Ground truth answer for synthetic payroll scenario 39.
40,Individual Pay Inquiry,Sample Individual Pay Inquiry question 40: What happened in payroll scenario 40?,Ground truth answer for synthetic payroll scenario 40.
41,Individual Pay Inquiry,Sample Individual Pay Inquiry question 41: What happened in payroll scenario 41?,Ground truth answer for synthetic payroll scenario 41.
42,Individual Pay Inquiry,Sample Individual Pay Inquiry question 42: What happened in payroll scenario 42?,Ground truth answer for synthetic payroll scenario 42.
43,Individual Pay Inquiry,Sample Individual Pay Inquiry question 43: What happened in payroll scenario 43?,Ground truth answer for synthetic payroll scenario 43.
44,Individual Pay Inquiry,Sample Individual Pay Inquiry question 44: What happened in payroll scenario 44?,Ground truth answer for synthetic payroll scenario 44.
45,Individual Pay Inquiry,Sample Individual Pay Inquiry question 45: What happened in payroll scenario 45?,Ground truth answer for synthetic payroll scenario 45.
46,Individual Pay Inquiry,Sample Individual Pay Inquiry question 46: What happened in payroll scenario 46?,Ground truth answer for synthetic payroll scenario 46.
47,Individual Pay Inquiry,Sample Individual Pay Inquiry question 47: What happened in payroll scenario 47?,Ground truth answer for synthetic payroll scenario 47.
48,Individual Pay Inquiry,Sample Individual Pay Inquiry question 48: What happened in payroll scenario 48?,Ground truth answer for synthetic payroll scenario 48.
49,Individual Pay Inquiry,Sample Individual Pay Inquiry question 49: What happened in payroll scenario 49?,Ground truth answer for synthetic payroll scenario 49.
50,Individual Pay Inquiry,Sample Individual Pay Inquiry question 50: What happened in payroll scenario 50?,Ground truth answer for synthetic payroll scenario 50.
51,Individual Pay Inquiry,Sample Individual Pay Inquiry question 51: What happened in payroll scenario 51?,Ground truth answer for synthetic payroll scenario 51.
52,Individual Pay Inquiry,Sample Individual Pay Inquiry question 52: What happened in payroll scenario 52?,Ground truth answer for synthetic payroll scenario 52.
53,Individual Pay Inquiry,Sample Individual Pay Inquiry question 53: What happened in payroll scenario 53?,Ground truth answer for synthetic payroll scenario 53.
54,Individual Pay Inquiry,Sample Individual Pay Inquiry question 54: What happened in payroll scenario 54?,Ground truth answer for synthetic payroll scenario 54.
55,Individual Pay Inquiry,Sample Individual Pay Inquiry question 55: What happened in payroll scenario 55?,Ground truth answer for synthetic payroll scenario 55.
56,Individual Pay Inquiry,Sample Individual Pay Inquiry question 56: What happened in payroll scenario 56?,Ground truth answer for synthetic payroll scenario 56.
57,Individual Pay Inquiry,Sample Individual Pay Inquiry question 57: What happened in payroll scenario 57?,Ground truth answer for synthetic payroll scenario 57.
58,Individual Pay Inquiry,Sample Individual Pay Inquiry question 58: What happened in payroll scenario 58?,Ground truth answer for synthetic payroll scenario 58.
59,Individual Pay Inquiry,Sample Individual Pay Inquiry question 59: What happened in payroll scenario 59?,Ground truth answer for synthetic payroll scenario 59.
60,Individual Pay Inquiry,Sample Individual Pay Inquiry question 60: What happened in payroll scenario 60?,Ground truth answer for synthetic payroll scenario 60.
61,Individual Pay Inquiry,Sample Individual Pay Inquiry question 61: What happened in payroll scenario 61?,Ground truth answer for synthetic payroll scenario 61.
62,Individual Pay Inquiry,Sample Individual Pay Inquiry question 62: What happened in payroll scenario 62?,Ground truth answer for synthetic payroll scenario 62.
63,Individual Pay Inquiry,Sample Individual Pay Inquiry question 63: What happened in payroll scenario 63?,Ground truth answer for synthetic payroll scenario 63.
64,Individual Pay Inquiry,Sample Individual Pay Inquiry question 64: What happened in payroll scenario 64?,Ground truth answer for synthetic payroll scenario 64.
65,Individual Pay Inquiry,Sample Individual Pay Inquiry question 65: What happened in payroll scenario 65?,Ground truth answer for synthetic payroll scenario 65.
66,Individual Pay Inquiry,Sample Individual Pay Inquiry question 66: What happened in payroll scenario 66?,Ground truth answer for synthetic payroll scenario 66.
67,Individual Pay Inquiry,Sample Individual Pay Inquiry question 67: What happened in payroll scenario 67?,Ground truth answer for synthetic payroll scenario 67.
68,Individual Pay Inquiry,Sample Individual Pay Inquiry question 68: What happened in payroll scenario 68?,Ground truth answer for synthetic payroll scenario 68.
69,Individual Pay Inquiry,Sample Individual Pay Inquiry question 69: What happened in payroll scenario 69?,Ground truth answer for synthetic payroll scenario 69.
70,Individual Pay Inquiry,Sample Individual Pay Inquiry question 70: What happened in payroll scenario 70?,Ground truth answer for synthetic payroll scenario 70.
71,Individual Pay Inquiry,Sample Individual Pay Inquiry question 71: What happened in payroll scenario 71?,Ground truth answer for synthetic payroll scenario 71.
72,Individual Pay Inquiry,Sample Individual Pay Inquiry question 72: What happened in payroll scenario 72?,Ground truth answer for synthetic payroll scenario 72.
73,Individual Pay Inquiry,Sample Individual Pay Inquiry question 73: What happened in payroll scenario 73?,Ground truth answer for synthetic payroll scenario 73.
74,Individual Pay Inquiry,Sample Individual Pay Inquiry question 74: What happened in payroll scenario 74?,Ground truth answer for synthetic payroll scenario 74.
75,Individual Pay Inquiry,Sample Individual Pay Inquiry question 75: What happened in payroll scenario 75?,Ground truth answer for synthetic payroll scenario 75.
76,Individual Pay Inquiry,Sample Individual Pay Inquiry question 76: What happened in payroll scenario 76?,Ground truth answer for synthetic payroll scenario 76.
77,Individual Pay Inquiry,Sample Individual Pay Inquiry question 77: What happened in payroll scenario 77?,Ground truth answer for synthetic payroll scenario 77.
78,Individual Pay Inquiry,Sample Individual Pay Inquiry question 78: What happened in payroll scenario 78?,Ground truth answer for synthetic payroll scenario 78.
79,Individual Pay Inquiry,Sample Individual Pay Inquiry question 79: What happened in payroll scenario 79?,Ground truth answer for synthetic payroll scenario 79.
80,Individual Pay Inquiry,Sample Individual Pay Inquiry question 80: What happened in payroll scenario 80?,Ground truth answer for synthetic payroll scenario 80.
81,Individual Pay Inquiry,Sample Individual Pay Inquiry question 81: What happened in payroll scenario 81?,Ground truth answer for synthetic payroll scenario 81.
82,Individual Pay Inquiry,Sample Individual Pay Inquiry question 82: What happened in payroll scenario 82?,Ground truth answer for synthetic payroll scenario 82.
83,Individual Pay Inquiry,Sample Individual Pay Inquiry question 83: What happened in payroll scenario 83?,Ground truth answer for synthetic payroll scenario 83.
84,Individual Pay Inquiry,Sample Individual Pay Inquiry question 84: What happened in payroll scenario 84?,Ground truth answer for synthetic payroll scenario 84.
85,Individual Pay Inquiry,Sample Individual Pay Inquiry question 85: What happened in payroll scenario 85?,Ground truth answer for synthetic payroll scenario 85.
86,Individual Pay Inquiry,Sample Individual Pay Inquiry question 86: What happened in payroll scenario 86?,Ground truth answer for synthetic payroll scenario 86.
87,Individual Pay Inquiry,Sample Individual Pay Inquiry question 87: What happened in payroll scenario 87?,Ground truth answer for synthetic payroll scenario 87.
88,Individual Pay Inquiry,Sample Individual Pay Inquiry question 88: What happened in payroll scenario 88?,Ground truth answer for synthetic payroll scenario 88.
89,Individual Pay Inquiry,Sample Individual Pay Inquiry question 89: What happened in payroll scenario 89?,Ground truth answer for synthetic payroll scenario 89.
90,Individual Pay Inquiry,Sample Individual Pay Inquiry question 90: What happened in payroll scenario 90?,Ground truth answer for synthetic payroll scenario 90.
91,Individual Pay Inquiry,Sample Individual Pay Inquiry question 91: What happened in payroll scenario 91?,Ground truth answer for synthetic payroll scenario 91.
92,Individual Pay Inquiry,Sample Individual Pay Inquiry question 92: What happened in payroll scenario 92?,Ground truth answer for synthetic payroll scenario 92.
93,Individual Pay Inquiry,Sample Individual Pay Inquiry question 93: What happened in payroll scenario 93?,Ground truth answer for synthetic payroll scenario 93.
94,Individual Pay Inquiry,Sample Individual Pay Inquiry question 94: What happened in payroll scenario 94?,Ground truth answer for synthetic payroll scenario 94.
95,Individual Pay Inquiry,Sample Individual Pay Inquiry question 95: What happened in payroll scenario 95?,Ground truth answer for synthetic payroll scenario 95.
96,Individual Pay Inquiry,Sample Individual Pay Inquiry question 96: What happened in payroll scenario 96?,Ground truth answer for synthetic payroll scenario 96.
97,Individual Pay Inquiry,Sample Individual Pay Inquiry question 97: What happened in payroll scenario 97?,Ground truth answer for synthetic payroll scenario 97.
98,Individual Pay Inquiry,Sample Individual Pay Inquiry question 98: What happened in payroll scenario 98?,Ground truth answer for synthetic payroll scenario 98.
99,Individual Pay Inquiry,Sample Individual Pay Inquiry question 99: What happened in payroll scenario 99?,Ground truth answer for synthetic payroll scenario 99.
100,Individual Pay Inquiry,Sample Individual Pay Inquiry question 100: What happened in payroll scenario 100?,Ground truth answer for synthetic payroll scenario 100.
101,Individual Pay Inquiry,Sample Individual Pay Inquiry question 101: What happened in payroll scenario 101?,Ground truth answer for synthetic payroll scenario 101.
102,Individual Pay Inquiry,Sample Individual Pay Inquiry question 102: What happened in payroll scenario 102?,Ground truth answer for synthetic payroll scenario 102.
